avage fps:0.25503589458210224, frame: 1, fps: 0.25503589458210224
avage fps:3.490235377636374, frame: 2, fps: 6.725434860690646
avage fps:9.00863076026456, frame: 3, fps: 20.045421525520933
avage fps:11.42681575987141, frame: 4, fps: 18.681370758691955
avage fps:12.544000683455153, frame: 5, fps: 17.012740377790127
avage fps:13.204754448741506, frame: 6, fps: 16.508523275173278
avage fps:13.551930446246528, frame: 7, fps: 15.634986431276653
avage fps:13.685509841497861, frame: 8, fps: 14.620565608257197
avage fps:13.737678279512927, frame: 9, fps: 14.155025783633468
avage fps:13.723812146290047, frame: 10, fps: 13.599016947284122
avage fps:13.668054462027756, frame: 11, fps: 13.11047761940485
avage fps:13.580424683135526, frame: 12, fps: 12.616497115320984
avage fps:13.425758146878762, frame: 13, fps: 11.569759711797596
avage fps:13.321766483465394, frame: 14, fps: 11.969874859091622
avage fps:13.202691929899734, frame: 15, fps: 11.535648179980473
avage fps:13.047165469454283, frame: 16, fps: 10.714268562772531
avage fps:12.903738255940029, frame: 17, fps: 10.608902839711957
avage fps:12.748008292387171, frame: 18, fps: 10.100598911988595
avage fps:12.591387705173195, frame: 19, fps: 9.772217135321652
avage fps:12.427150996459654, frame: 20, fps: 9.306653530902329
avage fps:12.24917401147731, frame: 21, fps: 8.68963431183043
avage fps:12.091689202605243, frame: 22, fps: 8.78450821629184
avage fps:11.912586414402371, frame: 23, fps: 7.972325073939191
avage fps:11.754185710200238, frame: 24, fps: 8.110969513551144
avage fps:11.596761728096006, frame: 25, fps: 7.818586157594421
avage fps:11.434122273646308, frame: 26, fps: 7.368135912403886
avage fps:11.299051165793209, frame: 27, fps: 7.787202361612655
avage fps:11.14199618393042, frame: 28, fps: 6.901511673635142
avage fps:10.996799825765555, frame: 29, fps: 6.93130179714935
avage fps:10.855536915868873, frame: 30, fps: 6.758912528865104
avage fps:10.713897345494996, frame: 31, fps: 6.464710234278669
avage fps:10.57994282633889, frame: 32, fps: 6.427352732499606
avage fps:10.443727564938339, frame: 33, fps: 6.084839200120702
avage fps:10.313539500371848, frame: 34, fps: 6.01733336967765
avage fps:10.185986035230602, frame: 35, fps: 5.8491682204282105
avage fps:10.061153952461837, frame: 36, fps: 5.692031055555028
avage fps:9.94375780602158, frame: 37, fps: 5.717496534172311
avage fps:9.833864813494438, frame: 38, fps: 5.767824089990237
avage fps:9.729170985471313, frame: 39, fps: 5.750805520592534
avage fps:9.61213765721146, frame: 40, fps: 5.047837855077138
avage fps:9.506639018551434, frame: 41, fps: 5.286693472150447
avage fps:9.41046408542308, frame: 42, fps: 5.46729182716059
avage fps:9.300215644202014, frame: 43, fps: 4.669781112917232
avage fps:9.202797776561955, frame: 44, fps: 5.013829468039453
