avage fps:0.24444779753869283, frame: 1, fps: 0.24444779753869283
avage fps:3.449790080326731, frame: 2, fps: 6.655132363114769
avage fps:11.252980184017305, frame: 3, fps: 26.859360391398454
avage fps:15.248360719967046, frame: 4, fps: 27.23450232781627
avage fps:17.30849018043738, frame: 5, fps: 25.549008022318738
avage fps:18.909897137563718, frame: 6, fps: 26.9169319231954
avage fps:20.09571896365511, frame: 7, fps: 27.210649920203448
avage fps:20.966693827357467, frame: 8, fps: 27.06351787327397
avage fps:21.64915247826058, frame: 9, fps: 27.108821685485488
avage fps:22.194821573000667, frame: 10, fps: 27.10584342566144
avage fps:22.645457472127774, frame: 11, fps: 27.151816463398845
avage fps:22.761553157904434, frame: 12, fps: 24.038605701447715
avage fps:23.079856495975623, frame: 13, fps: 26.899496552829888
avage fps:23.337795402691572, frame: 14, fps: 26.691001189998918
avage fps:23.555586180065283, frame: 15, fps: 26.604657063297243
avage fps:23.761523993506803, frame: 16, fps: 26.850591195129603
avage fps:23.93173088500607, frame: 17, fps: 26.65504114899431
avage fps:24.074315982423236, frame: 18, fps: 26.498262638515094
avage fps:24.07332174947045, frame: 19, fps: 24.055425556320255
avage fps:24.19071293515942, frame: 20, fps: 26.421145463249932
avage fps:24.29254070610395, frame: 21, fps: 26.329096124994507
avage fps:24.397790336826958, frame: 22, fps: 26.60803258201011
avage fps:24.48794455778324, frame: 23, fps: 26.471337418821435
avage fps:24.568224205860872, frame: 24, fps: 26.41465611164642
avage fps:24.646142731920875, frame: 25, fps: 26.516187357360966
avage fps:24.623725399282616, frame: 26, fps: 24.06329208332616
avage fps:24.671541517116026, frame: 27, fps: 25.914760580784677
avage fps:24.725766713591177, frame: 28, fps: 26.18984701842023
avage fps:24.771450854835763, frame: 29, fps: 26.050606809684112
avage fps:24.814380722542175, frame: 30, fps: 26.059346886028134
avage fps:24.850719595540788, frame: 31, fps: 25.940885785499145
avage fps:24.809601681843557, frame: 32, fps: 23.53494635722943
avage fps:24.830943582731226, frame: 33, fps: 25.513884411136726
avage fps:24.855645841429887, frame: 34, fps: 25.67082037848557
avage fps:24.879947964823543, frame: 35, fps: 25.70622016020789
avage fps:24.908710550808088, frame: 36, fps: 25.91540106026717
avage fps:24.935239616525664, frame: 37, fps: 25.89028598235835
avage fps:24.896487754694675, frame: 38, fps: 23.462668866948228
avage fps:24.899689369213718, frame: 39, fps: 25.021350720937306
avage fps:24.916841863558204, frame: 40, fps: 25.58578914299309
avage fps:24.93612573558341, frame: 41, fps: 25.707480616591585
avage fps:24.95037005966395, frame: 42, fps: 25.53438734696611
avage fps:24.968949900387013, frame: 43, fps: 25.749303210755723
avage fps:24.92916670497419, frame: 44, fps: 23.21848930222259
avage fps:24.932825328869885, frame: 45, fps: 25.093804780280596
avage fps:24.94530863507023, frame: 46, fps: 25.507057414085637
avage fps:24.95729374248339, frame: 47, fps: 25.50860868348872
avage fps:24.97466147541175, frame: 48, fps: 25.79094492304476
avage fps:24.97497540510316, frame: 49, fps: 24.990044030290935
avage fps:24.937571592573278, frame: 50, fps: 23.104784778608966
avage fps:24.941510842542527, frame: 51, fps: 25.138473341004985
avage fps:24.94698787840641, frame: 52, fps: 25.2263167074645
avage fps:24.951004829131595, frame: 53, fps: 25.159886266841024
avage fps:24.959658993168265, frame: 54, fps: 25.41832968711177
avage fps:24.93114438879443, frame: 55, fps: 23.391355752607218
avage fps:24.935005486020923, frame: 56, fps: 25.147365833478226
avage fps:24.939985820179462, frame: 57, fps: 25.218884533057555
avage fps:24.94008268890169, frame: 58, fps: 24.945604206068825
avage fps:24.937830625672603, frame: 59, fps: 24.80721095838558
avage fps:24.90924349898049, frame: 60, fps: 23.22260302414555
avage fps:24.90124390670109, frame: 61, fps: 24.42126836993735
avage fps:24.898176133743632, frame: 62, fps: 24.711041983338635
avage fps:24.90249083353133, frame: 63, fps: 25.17000222036858
avage fps:24.88308327281295, frame: 64, fps: 23.660406947554872
avage fps:24.878050489646796, frame: 65, fps: 24.555952367012868
avage fps:24.87475838225356, frame: 66, fps: 24.66077140169332
avage fps:24.874912296445558, frame: 67, fps: 24.885070633117174
avage fps:24.851367843863272, frame: 68, fps: 23.273889520850094
avage fps:24.850298866866726, frame: 69, fps: 24.777608431101502
avage fps:24.85094753440151, frame: 70, fps: 24.895705594301827
avage fps:24.85019931965744, frame: 71, fps: 24.797824287572425
avage fps:24.833085987517666, frame: 72, fps: 23.618039405593816
avage fps:24.828992521959993, frame: 73, fps: 24.53426300180747
avage fps:24.824662911478068, frame: 74, fps: 24.50860134629768
avage fps:24.824088220836707, frame: 75, fps: 24.781561113375993
avage fps:24.803368346731805, frame: 76, fps: 23.249377788863946
avage fps:24.797832737693863, frame: 77, fps: 24.37712645081048
avage fps:24.794947502861746, frame: 78, fps: 24.572784420788686
avage fps:24.79318851536562, frame: 79, fps: 24.655987490667968
avage fps:24.772941938885538, frame: 80, fps: 23.17346239695905
avage fps:24.770122904698123, frame: 81, fps: 24.544600169704772
avage fps:24.76789376224946, frame: 82, fps: 24.587333223907894
avage fps:24.505970282769155, frame: 83, fps: 3.028244965384196
avage fps:24.25118576269543, frame: 84, fps: 3.104070596576297
avage fps:23.996668188667055, frame: 85, fps: 2.617191970283234
avage fps:23.748449563708824, frame: 86, fps: 2.649866442259337
avage fps:23.513332009801356, frame: 87, fps: 3.293222373759144
avage fps:23.276676731126916, frame: 88, fps: 2.6876674864504984
avage fps:23.04612033682547, frame: 89, fps: 2.75715763829818
avage fps:22.82103864210164, frame: 90, fps: 2.7887678116807257
avage fps:22.60260850278859, frame: 91, fps: 2.9438959646140437
avage fps:22.390992477997834, frame: 92, fps: 3.133934222038912
avage fps:22.18451785399844, frame: 93, fps: 3.1888524460542143
avage fps:21.977055278894692, frame: 94, fps: 2.683035794246412
avage fps:21.773743235748928, frame: 95, fps: 2.6624111800469477
avage fps:21.576915346461348, frame: 96, fps: 2.8782658641411496
avage fps:21.38471261064063, frame: 97, fps: 2.933249971851513
avage fps:21.196402455787496, frame: 98, fps: 2.9303174350332695
avage fps:21.011718909147337, frame: 99, fps: 2.912731338412072
avage fps:20.827317680453458, frame: 100, fps: 2.5715960397593642
avage fps:20.64891265280852, frame: 101, fps: 2.8084098883145407
avage fps:20.467278418294722, frame: 102, fps: 2.122220732401493
avage fps:20.295336289966087, frame: 103, fps: 2.7572392004454387
avage fps:20.128769742722515, frame: 104, fps: 2.9724153766345682
avage fps:19.962629526844843, frame: 105, fps: 2.684047075567023
avage fps:19.799998679769566, frame: 106, fps: 2.723759736865176
avage fps:19.640081767833237, frame: 107, fps: 2.6888891025825954
